ALIMENTO;MEDIDA CASEIRA;PESO (g/ml);Kcal;CHO (g)
Pão de mel;1 unidade média;15;76;13
Pão de mel com chocolate Pan®;1 unidade;15;65;10
Pão de milho caseiro;1 fatia média;70;200;43
"Pão de milho com 50% de
farinha de trigo";1 fatia média;70;204;42
Pão de milho industrializado;1 fatia média;70;201;43
Pão de passas (média);1 unidade média;50;136;26
Pão de queijo;1 unidade grande;40;109;14
Pão de queijo;1 unidade pequena;20;87;9
Pão de queijo coquetel;1 unidade;10;27;4
"Pão de queijo light Forno de
Minas®";1 unidade média;27;55;9
Pão de quinua light Sonda®;1 unidade média;53;158;33
"Pão de sanduíche light Seven
Boys®";1 fatia média;25;60;12
Pão doce/careca;1 unidade;50;134;28
Pão francês;1 unidade;50;135;28
Pão frânces (sem miolo);1 unidade;35;100;20
Pão francês integral;1 unidade;50;127;25
Pão italiano;1 fatia grande;50;136;25
Pão sírio integral Pita Bread®;1 unidade média;58;144;31
Pão sírio Pita Bread®;1 unidade média;53;158;33
Pão sovado;1 fatia média;50;155;31
Pasta de amendoim;"1 colher de
sopa";15;88;3
Pastel (festa);1 unidade pequena;8;26;3
Pastel (média);1 unidade média;32;102;11
Patê (média);"1 colher de
chá";8;17;0
Pavê de amendoim;1 colher de sopa;37;120;9
Pavê de chocolate;1 colher de sopa;35;63;7
Pavê de fruta;1 colher de sopa;25;82;7
Pé-de-moleque;1 pedaço pequeno;17;88;10
Pé-de-moleque diet Flormel®;1 tablete;25;115;8
Pé-de-moleque diet Hué®;1 tablete;25;112;10
"Peito de peru
defumado";"1 fatia
média";20;24;0
Peixe ensopado;1 porção;120;156;2
Peixe frito;1 porção;120;437;4
Peixe grelhado;"1 posta ou
1 filé";100;180;0
Peixe na telha;"1 posta
média";230;262;7
"Peixe, filé à
milanesa";"1 unidade
média";115;305;17
Peixe, filé grelhado;"1 unidade
média";120;117;0
Pepino cru;1 unidade pequena;50;5;1
Pepino cru (fatiado);1 fatia pequena;3;1;0
Pepino picles (conserva);1 /_{4} xícara de chá;50;12;2
Pequi refogado;4 unidades médias;70;143;9
Pera;1 unidade média;100;53;14
"Peru carne branca
assada";1 pedaço;100;158;0
Pêssego;1 unidade média;60;36;9
Pêssego em caldas;½ unidade;30;25;6
Pêssego enlatado em calda;1 metade;47;39;9
Pêssego enlatado em calda diet;1 metade;47;11;2
Picanha (Burguer King®);1 unidade;403;922;53
"Picanha Barbecue Bacon
(Burguer King®)";1 unidade;450;1158;56
"Picanha Cheddar Bacon
(Burguer King®)";1 unidade;323;762;36
Picanha Goumert (Bob’s®);1 unidade pequena;258;698;43
Picolé Chicabon®;1 unidade;63;106;19
Picolé Chokito®;1 unidade;61;232;27
Picolé de coco La Frutta Nestlé®;1 unidade;58;90;13
Picolé de fruta Kibon®;1 unidade;63;66;16
Picolé Fruttare limão Kibon®;1 unidade;58;51;13
Picolé Mega clássico Nestlé®;1 unidade;77;238;22
Picolé Mega trufas Nestlé®;1 unidade;77;258;27
"Picolé Molico frutas amarelas
zero Nestlé®";1 unidade;66;50;10
"Picolé Molico frutas vermelhas
zero Nestlé®";1 unidade;66;52;10
Picolé Tablito®;1 unidade;63;231;17
Pimentão cru (diversos);1 colher de sopa cheia;13;7;1
Pingo d´Ouro Elma Chips®;1 pacotinho;30;155;17
Pinha;1 unidade pequena;60;41;8
Pinhão (cozido);1 porção;30;175;13
Pinhão cozido;1 unidade média;10;25;5
Pipoca diet Maroca®;1 pacote;29;108;25
Pipoca doce;1 saco médio;20;95;20
Pipoca doce;1 xícara de chá;25;95;22
Pipoca doce industrializada;1 pacote;20;71;17
Pipoca salgada;"1 saco pequeno ou
1 xícara";15;67;11
Pipoquita doce de arroz Vitao®;1 xícara de chá;25;94;21
Pirulito comum;1 unidade;20;74;19
Pirulito de coração;1 unidade;10;45;11
"Pirulito diet Well® (sabor
morango)";1 unidade;8;19;8
Pistache;1 colher de sopa;15;90;4
Pitanga;½ xícara de chá;35;14;3
Pitanga;1 unidade;15;7;1
Pitanga (polpa) congelada;1 saquinho;100;19;5
Pitaya;1 unidade;200;84;14
Pizza de calabresa;1 fatia grande;135;256;35
Pizza de frango com catupiry;1 fatia grande;130;249;35
Pizza de muçarela;1 fatia grande;130;249;23
"Pizza de muçarela de bufala,
rúcula tomate seco";1 fatia grande;130;238;22
Pizza de rúcula;1 fatia grande;120;200;24
Pizza massa fina (média);1 fatia grande;120;208;22
Pizza portuguesa;1 fatia grande;125;309;28
Pizza quatro queijos;1 fatia grande;120;272;34
Pizza romeu e julieta;1 fatia;100;272;39
Polvilho doce/azedo;1 colher de sopa;15;20;5
Presunto de peru;1 fatia;20;21;0
Presunto de porco;1 fatia;20;36;0
Presunto magro;1 fatia;25;35;0
"Pringles®
(salgadinho de batata)";14 unidades;25;134;14
Proteína texturizada de soja;½ xícara de chá;50;139;10
"Proteina texturizada de soja
Jasmile®";½ xícara de chá;50;144;10
Psylium Vitao®;1 colher de sopa;10;32;8
Pudim chocolate diet Dr.Oetker ®;1 colher de sopa;7;22;4
Pudim de Baunilha Dr.Oetker ®;1 colher de sopa;11;41;10
Pudim industrializado diet;1 colher de sopa;40;19;4
Pudim leite condensado;1 colher de sopa cheia;50;108;17
"Pudim morango diet
Doce Menor®";1 colher de sopa;6;21;5
Pupunha;1 unidade média;25;41;5
Quarteirão® (McDonald’s®);1 unidade;;528;33
Queijadinha de coco;1 unidade média;35;72;9
"Queijo cheddar
cremoso";"1 colher de
sopa";30;48;0
Queijo cottage;"2 colheres
de sopa";50;45;1
"Queijo minas
frescal";"1 fatia
média";30;72;0
"Queijo minas
frescal light";"1 fatia
média";30;48;0
Queijo muçarela;"1 fatia
média";20;64;0
"Queijo parmesão
ralado";"1 colher de
sopa";5;23;0
Queijo prato;1 fatia;20;71;0
Queijo ricota;"1 fatia
média";40;56;0
Quentão;½ copo;100;294;34
Quiabo cozido;1 colher de sopa cheia;40;15;3
Quibe frito;1 unidade média;50;127;6
Quibe frito (festa);1 unidade pequeno;12;31;2
Quindim;1 unidade pequena;20;64;8
Quinoa (grão);1 colher sopa cheia;25;88;16
Quinoa (grão);"1 colher
sopa cheia";25;88;16
Quinoa grão;1 colher sopa cheia;25;88;16
Rã (perna);1 porção;100;73;0
Rabanada;1 unidade média;60;249;48
Rabanete cru;1 unidade média;60;7;2
Rap fit Pullman®;1 unidade;40;97;19
Rap integral Pullman®;1 unidade;40;114;18
Rap tradicional Pullman®;1 unidade;40;118;20
Rapadura;1 pedaço médio;55;194;48
Ravióli de carne;1 escumadeira;50;141;25
Ravióli de queijo;1 escumadeira;50;149;19
Refresco comum com açúcar;1 copo;200;56;14
Refresco diet Clight®;1 copo;200;5;0
Refrigerante comum (média);1 copo;200;88;22
Refrigerante diet (média);1 copo;200;1;0
"Refrigerante diet
Schweppes Citrus®";1 copo;200;7;1
Refrigerante H2O®;1 copo;200;0;0
Refrigerante Schweppes Citrus®;1 copo;200;93;24
Repolho cozido;1 colher de sopa cheia;10;2;0
Repolho cru (picado);1 colher de sopa cheia;10;2;0
Requeijão cremoso;"1 colher de
sobremesa";15;40;0
"Requeijão cremoso
light";"1 colher de
sobremesa";15;28;0
Risole;1 unidade média;35;145;14
Risoto simples;1 colher de sopa cheia;25;41;5
Rocambole Pullman®;1 pedaço médio;80;294;48
Rodeio™® (Burguer King®);1 unidade;162;398;40
Roll cake de chocolate;1 unidade;38;143;22
Romã;1 unidade pequena;50;28;7
Rosbife;1 pedaço;100;120;0
Rosquinha de leite;1 unidade;7;27;4
Rúcula crua;1 prato de sobremesa;100;17;2
Ruffles®;1 pacote pequeno;30;169;14
Rum;1 dose;50;108;0
Sagu em vinho;1 colher de sopa;20;29;6
"Salada à moda da casa
kani Marietta®";1 porção grande;350;426;35
Salada Agadir;1 porção;100;167;3
Salada Almanara®;1 porção;100;293;12
Salada ceasar Marietta®;1 porção grande;350;538;27
Salada ceaser (média);1 porção;180;152;12
Salada de atum Marietta®;1 porção;350;205;10
Salada de batata com maionese;1 colher de sopa cheia;38;58;7
Salada de frutas;1 copo pequeno cheio;150;81;22
Salada de frutas;1 colher de sopa cheia;20;10;3
"Salada de legumes com
maionese";1 colher de sopa cheia;35;34;5
Salada de legumes simples;1 colher de sopa cheia;30;25;4
Salada tropical (média);1 porção;180;75;15
Salada verde;1 prato de sobremesa;125;65;2
Salame;"1 fatia
média";20;50;0
Salgadinho de soja Jasmine®;1 colher de sopa cheia;20;98;4
"Salgadinhos sortidos Marilan®
(média)";13 unidades;20;136;19
Salsa;1 colher de sopa cheia;15;5;1
Salsão;1 colher de sopa cheia;15;3;0
Sanduíche americano;1 unidade média;190;278;28
Sanduíche de atum;1 unidade;120;372;33
Sanduíche de calabresa;1 unidade;120;303;18
Sanduíche de frango;1 unidade méda;120;299;33
Sanduíche de mortadela;1 unidade;90;284;30
Sanduíche de pernil;1 unidade;120;241;17
Sanduíche de presunto;1 unidade;90;207;17
Sanduíche de queijo minas;1 unidade;120;395;37
"Sanduíche de queijo prato
com presunto";1 unidade;90;239;16
Sanduíche natural;1 unidade média;120;265;29
Sanduíche natural de atum;1 unidade média;120;296;20
Sanduíche natural de frango;1 unidade média;120;288;21
Sapoti;1 unidade pequena;60;53;16
Saquê;1 dose;50;63;3
Seleta de legumes (média);1 colher de sopa cheia;30;25;4
Semente de chia;1 colher de sopa;15;80;7
Semente de girassol Vida Boa®;1 colher de sopa;15;79;2
Semolina cozida;1 pedaço médio;100;370;49
Sequilhos Seven Boys®;1 unidade;3;14;3
Smirnoff ice;1 garrafinha;275;190;47
"Snack de soja ervas finas Good
Soy®";1 pacote comercial;25;95;15
Snack Wrap Chicken Cheese®;1 unidade;128;328;31
Snack Wrap Ranch®;1 unidade;117;280;32
"Snacks integrais Vitao ervas
finas®";2 xícara de chá;25;104;14
Snacks integrais Vitao queijo®;2 xícara de chá;25;103;14
Snacks integral Vitao® (média);2 xícaras de chá;25;109;15
Soja (hambúrguer);1 unidade;50;36;4
Soja cozida (grão);1 colher de sopa;18;22;2
Soja em pasta (missô);1 colher sopa rasa;20;30;3
Soja torrada (grão);1 colher sopa cheia;16;68;5
Sorvete (média);1 bola média;60;161;19
Sorvete diet (média);1 bola média;60;62;10
Sorvete light (média);1 bola média;60;62;10
"Sorvete Molico napolitano diet
Nestlé®";1 bola média;60;60;10
"Sorvete Molico Yogo Natural
diet Nestlé®";1 bola média;60;36;8
Stacker Triplo (Burguer King®);1 unidade;486;1529;35
Strudel de banana;1 fatia média;100;309;56
Strudel de maçã;1 pedaço médio;30;131;19
"Submway Frango Defumado
com Cream Cheese® (sem
queijo/sem molho)";1 unidade (15 cm);232;362;45
"Subway Atum® (sem queijo/
sem molho)";1 unidade (15 cm);232;327;45
"Subway B.M.T. Italiano® (sem
queijo/sem molho)";1 unidade (15 cm);230;415;43
"Subway Beef Bacon Chipotle®
(sem queijo/sem molho)";1 unidade (15 cm);252;423;44
"Subway Beef Barbecue Bacon®
(sem queijo/sem molho)";1 unidade (15 cm);272;417;53
"Subway Carne Supreme® (sem
queijo/sem molho)";1 unidade (15 cm);272;460;50
"Subway Frango com Molho
Barbecue® (sem queijo/sem
molho)";1 unidade (15 cm);237;332;39
"Subway Frango com Molho
Parmesão® (sem queijo/sem
molho)";1 unidade (15 cm);237;301;43
"Subway Frango Desfiado com
Maionese Temperada® (sem
queijo/sem molho)";1 unidade (15 cm);222;632;40
"Subway Frango Empanado com
Cream Cheese® (sem queijo/
sem molho)";1 unidade (15 cm);267;484;51
"Subway Frango Empanado com
Maionese Temperada® (sem
queijo/sem molho)";1 unidade (15 cm);247;572;51
Suco Ades® (média);1 copo;200;88;20
Suco artificial diet;1 copo;200;3;0
Suco comum;1 copo;200;56;14
Suco concentrado da fruta;1 copo;200;14;3
Suco de abacaxi com açúcar;1 copo;200;108;26
Suco de abacaxi sem açúcar;1 copo;200;86;20
Suco de açaí com xarope;1 copo;200;365;60
Suco de açaí sem xarope;1 copo;200;250;46
Suco de acerola com açúcar;1 copo;200;52;12
"Suco de acerola e laranja sem
açúcar";1 copo;200;113;25
Suco de acerola sem açúcar;1 copo;200;25;5
Suco de cajá (polpa congelada);1 copo;200;26;6
Suco de caju (polpa congelada);1 copo;200;37;9
"Suco de caju concentrado
(diluído em água)";1 copo;200;30;7
Suco de graviola sem açúcar;1 copo;200;35;7
"Suco de graviola
(polpa congelada)";1 copo;200;38;10
Suco de groselia;1 copo;200;83;20
"Suco de laranja e cenoura
sem açúcar";1 copo;200;114;26
"Suco de laranja orgânico
(média)";1 copo;200;72;18
Suco de laranja sem açucar;1 copo;200;74;17
Suco de maçã com açúcar;1 copo;200;100;22
Suco de maçã sem açúcar;1 copo;200;42;7
Suco de mamão com açúcar;1 copo;200;76;18
"Suco de mamão com laranja
sem açúcar";1 copo;200;110;26
Suco de manga com açúcar;1 copo;200;80;19
Suco de manga sem açúcar;1 copo;200;48;13
Suco de maracujá com açúcar;1 copo;200;58;14
Suco de maracujá sem açúcar;1 copo;200;45;9
"Suco de maracujá
(polpa congelada)";1 copo;100;39;10
Suco de melancia sem açúcar;1 copo;200;88;19
Suco de melão com açúcar;1 copo;200;68;16
Suco de melão sem açúcar;1 copo;200;33;6
Suco de morango com açúcar;1 copo;200;80;18
Suco de morango sem açúcar;1 copo;200;43;9
Suco de pêssego sem açúcar;1 copo;200;32;7
Suco de tangerina sem açúcar;1 copo;200;86;18
Suco de tomate com açúcar;1 copo;200;121;26
Suco de tomate enlatado;1 copo;200;41;8
Suco de tomate sem açúcar;1 copo;200;48;9
Suco de umbu (polpa congelada);1 copo;200;34;9
"Suco de uva concentrado
(diluído em água)";1 copo;200;116;29
Suco de uva engarrafado;1 copo;200;126;30
Suco de uva integral (média);1 copo;200;140;33
Suco de uva Kapo®;1 unidade;200;106;23
Suco de uva light Tial® (média);1 copo;200;58;15
Suco Del Valle® (média);1 copo;200;112;28
Suco light Ades®;1 copo;200;32;7
Suco light Del Valle® (média);1 copo;200;24;6
Suco light Disfrut® (média);1 copo;200;32;8
Suco light Mais® (média);1 copo;200;32;8
"Suco Maguary® concentrado
(sem açúcar)";1 copo;200;14;3
Suco Mais® (média);1 copo;200;105;26
Suco Mc Laranja®;1 copo pequeno;300;160;34
Suco Tang® (média);1 copo;200;84;21
Sucrilhos®;1 colher de sopa cheia;5;19;5
Sucrilhos®;1 copo pequeno cheio;38;139;35
Sundae Kibon®;1 unidade;145;266;41
Suspiro;1 unidade média;10;38;9
Suspiro diet (Merenguinho®);1 unidade;2;2;1
Taioba (folha);1 colher de sopa;20;7;1
Tâmara seca;1 unidade média;10;28;7
Tamarindo;1 colher de sopa cheia;12;33;9
Tangerina;1 unidade média;135;67;15
Tapioca com coco;1 unidade média;100;298;49
"Tapioca com queijo e coco
ralado";1 unidade média;100;430;62
Tapioca pronta na manteiga;1 unidade;100;174;43
Tempeh;1 fatia;20;40;2
Tequila;1 copo;40;136;19
Toddynho® chocolate;1 unidade;200;185;32
Toddynho® chocolate levinho;1 unidade;200;105;17
Toddynho® chocolate light;1 unidade;200;122;20
Tofu;1 pedaço;30;20;1
Tomate;1 unidade média;70;12;3
Tomate (fatiado);1 fatia média;15;2;0
Tomate cereja;4 unidades pequenas;24;4;1
Tomate extrato (industrializado);1 colher de sopa rasa;15;9;2
Tomate purê (industrializado);1 colher de sopa cheia;20;8;1
Tomate seco (no azeite);1 colher de sopa cheia;25;94;5
"Top Snacks tomate e orégano
Fhom®";1 pacote comercial;25;106;19
"Torrada alho, água e sal Casa
Victoriana®";1 unidade;8;25;5
Torrada de pão de sal (média);1 unidade pequena;10;29;5
Torrada industrializada (média);1 unidade;8;28;6
Torradas (média);1 unidade;8;25;5
"Torradas 100% integral Slim
Toast Fhom®";10 unidades;30;108;20
Torradas aperitivo;1 unidade;2;7;1
"Torradas Slim Toast Fhom®
(média)";21 unidades;30;112;22
"Torta cheesecake
com calda de frutas";1 fatia média;60;148;19
Torta de limão;1 fatia pequena;90;237;34
Torta de maçã;1 fatia média;125;332;46
Torta holandesa;1 fatia pequena;60;181;22
Tortilha de trigo integral;1 unidade;35;92;20
Tremoço (conserva);1 colher de sopa;20;24;3
Trigo (grão);1 colher de sopa cheia;25;70;19
Trigo para kibe;1 colher de sopa cheia;25;83;19
Trufa de chocolate;1 unidade grande;30;140;15
Uísque;1 dose;50;120;0
Umbu;1 unidade média;22;10;2
Umbu (polpa) congelada;1 saquinho;100;34;9
Uva comum (média);10 gomos médios;80;60;10
Uva roxa;1 cacho pequeno;100;79;18
Uva verde ou italiana;1 unidade;8;6;1
Uva-passa;1 colher de sopa cheia;18;55;14
Vagem (conserva);1 colher de sopa cheia;20;5;1
Vagem cozida;1 colher de sopa cheia;20;8;2
Vagem crua;1 colher de sopa cheia;20;4;1
Veggie Chips de grão de bico;1 ½ xícara de chá;25;95;16
Vinho branco seco;1 taça;80;53;0
Vinho branco suave;1 taça;80;70;10
Vinho rosé;1 taça;80;57;1
Vinho tinto seco;1 taça;80;58;1
Vitalin®;;;;
"Vitamina de leite/fruta
(com açúcar)";1 copo;200;133;22
"Vitamina de leite/fruta
(sem açúcar)";1 copo;200;105;15
Vodka;1 dose;40;93;0
Wrap 100% integral Wickbold®;1 unidade;30;75;13
Wrap tradicional Wickbold®;1 unidade;30;80;15
Xylitol;1 colher de chá;3;8;3
Yogoberry comum;"1 porção
(1 bola grande)";100;88;17
Yogoberry diet;"1 porção
(1 bola grande)";100;60;7
