ID;ALIMENTO;MEDIDA CASEIRA;PESO (g/ml);Kcal;CHO (g)
996;Picanha Goumert (Bob’s®);1 unidade pequena;258;698;43
997;Picolé Chicabon®;1 unidade;63;106;19
998;Picolé Chokito®;1 unidade;61;232;27
999;Picolé de coco La Frutta Nestlé®;1 unidade;58;90;13
1000;Picolé de fruta Kibon®;1 unidade;63;66;16
1001;Picolé Fruttare limão Kibon®;1 unidade;58;51;13
1002;Picolé Mega clássico Nestlé®;1 unidade;77;238;22
1003;Picolé Mega trufas Nestlé®;1 unidade;77;258;27
1004;"Picolé Molico frutas amarelas
zero Nestlé®";1 unidade;66;50;10
1005;"Picolé Molico frutas vermelhas
zero Nestlé®";1 unidade;66;52;10
1006;Picolé Tablito®;1 unidade;63;231;17
1007;Pimentão cru (diversos);1 colher de sopa cheia;13;7;1
1008;Pingo d´Ouro Elma Chips®;1 pacotinho;30;155;17
1009;Pinha;1 unidade pequena;60;41;8
1010;Pinhão (cozido);1 porção;30;175;13
1011;Pinhão cozido;1 unidade média;10;25;5
1012;Pipoca diet Maroca®;1 pacote;29;108;25
1013;Pipoca doce;1 saco médio;20;95;20
1014;Pipoca doce;1 xícara de chá;25;95;22
1015;Pipoca doce industrializada;1 pacote;20;71;17
1016;Pipoca salgada;"1 saco pequeno ou
1 xícara";15;67;11
1017;Pipoquita doce de arroz Vitao®;1 xícara de chá;25;94;21
1018;Pirulito comum;1 unidade;20;74;19
1019;Pirulito de coração;1 unidade;10;45;11
1020;"Pirulito diet Well® (sabor
morango)";1 unidade;8;19;8
1021;Pistache;1 colher de sopa;15;90;4
1022;Pitanga;½ xícara de chá;35;14;3
1023;Pitanga;1 unidade;15;7;1
1024;Pitanga (polpa) congelada;1 saquinho;100;19;5
1025;Pitaya;1 unidade;200;84;14
1026;Pizza de calabresa;1 fatia grande;135;256;35
1027;Pizza de frango com catupiry;1 fatia grande;130;249;35
1028;Pizza de muçarela;1 fatia grande;130;249;23
1029;"Pizza de muçarela de bufala,
rúcula tomate seco";1 fatia grande;130;238;22
1030;Pizza de rúcula;1 fatia grande;120;200;24
1031;Pizza massa fina (média);1 fatia grande;120;208;22
1032;Pizza portuguesa;1 fatia grande;125;309;28
1033;Pizza quatro queijos;1 fatia grande;120;272;34
1034;Pizza romeu e julieta;1 fatia;100;272;39
1035;Polvilho doce/azedo;1 colher de sopa;15;20;5
1036;Presunto de peru;1 fatia;20;21;0
1037;Presunto de porco;1 fatia;20;36;0
1038;Presunto magro;1 fatia;25;35;0
1039;"Pringles®
(salgadinho de batata)";14 unidades;25;134;14
1040;Proteína texturizada de soja;½ xícara de chá;50;139;10
1041;"Proteina texturizada de soja
Jasmile®";½ xícara de chá;50;144;10
1042;Psylium Vitao®;1 colher de sopa;10;32;8
1043;Pudim chocolate diet Dr.Oetker ®;1 colher de sopa;7;22;4
1044;Pudim de Baunilha Dr.Oetker ®;1 colher de sopa;11;41;10
1045;Pudim industrializado diet;1 colher de sopa;40;19;4
1046;Pudim leite condensado;1 colher de sopa cheia;50;108;17
1047;"Pudim morango diet
Doce Menor®";1 colher de sopa;6;21;5
1048;Pupunha;1 unidade média;25;41;5
1049;Quarteirão® (McDonald’s®);1 unidade;;528;33
1050;Queijadinha de coco;1 unidade média;35;72;9
1051;"Queijo cheddar
cremoso";"1 colher de
sopa";30;48;0
1052;Queijo cottage;"2 colheres
de sopa";50;45;1
1053;"Queijo minas
frescal";"1 fatia
média";30;72;0
1054;"Queijo minas
frescal light";"1 fatia
média";30;48;0
1055;Queijo muçarela;"1 fatia
média";20;64;0
1056;"Queijo parmesão
ralado";"1 colher de
sopa";5;23;0
1057;Queijo prato;1 fatia;20;71;0
1058;Queijo ricota;"1 fatia
média";40;56;0
1059;Quentão;½ copo;100;294;34
1060;Quiabo cozido;1 colher de sopa cheia;40;15;3
1061;Quibe frito;1 unidade média;50;127;6
1062;Quibe frito (festa);1 unidade pequeno;12;31;2
1063;Quindim;1 unidade pequena;20;64;8
1064;Quinoa (grão);1 colher sopa cheia;25;88;16
1065;Quinoa (grão);"1 colher
sopa cheia";25;88;16
1066;Quinoa grão;1 colher sopa cheia;25;88;16
1067;Rã (perna);1 porção;100;73;0
1068;Rabanada;1 unidade média;60;249;48
1069;Rabanete cru;1 unidade média;60;7;2
1070;Rap fit Pullman®;1 unidade;40;97;19
1071;Rap integral Pullman®;1 unidade;40;114;18
1072;Rap tradicional Pullman®;1 unidade;40;118;20
1073;Rapadura;1 pedaço médio;55;194;48
1074;Ravióli de carne;1 escumadeira;50;141;25
1075;Ravióli de queijo;1 escumadeira;50;149;19
1076;Refresco comum com açúcar;1 copo;200;56;14
1077;Refresco diet Clight®;1 copo;200;5;0
1078;Refrigerante comum (média);1 copo;200;88;22
1079;Refrigerante diet (média);1 copo;200;1;0
1080;"Refrigerante diet
Schweppes Citrus®";1 copo;200;7;1
1081;Refrigerante H2O®;1 copo;200;0;0
1082;Refrigerante Schweppes Citrus®;1 copo;200;93;24
1083;Repolho cozido;1 colher de sopa cheia;10;2;0
1084;Repolho cru (picado);1 colher de sopa cheia;10;2;0
1085;Requeijão cremoso;"1 colher de
sobremesa";15;40;0
1086;"Requeijão cremoso
light";"1 colher de
sobremesa";15;28;0
1087;Risole;1 unidade média;35;145;14
1088;Risoto simples;1 colher de sopa cheia;25;41;5
1089;Rocambole Pullman®;1 pedaço médio;80;294;48
1090;Rodeio™® (Burguer King®);1 unidade;162;398;40
1091;Roll cake de chocolate;1 unidade;38;143;22
1092;Romã;1 unidade pequena;50;28;7
1093;Rosbife;1 pedaço;100;120;0
1094;Rosquinha de leite;1 unidade;7;27;4
1095;Rúcula crua;1 prato de sobremesa;100;17;2
1096;Ruffles®;1 pacote pequeno;30;169;14
1097;Rum;1 dose;50;108;0
1098;Sagu em vinho;1 colher de sopa;20;29;6
1099;"Salada à moda da casa
kani Marietta®";1 porção grande;350;426;35
1100;Salada Agadir;1 porção;100;167;3
1101;Salada Almanara®;1 porção;100;293;12
1102;Salada ceasar Marietta®;1 porção grande;350;538;27
1103;Salada ceaser (média);1 porção;180;152;12
1104;Salada de atum Marietta®;1 porção;350;205;10
1105;Salada de batata com maionese;1 colher de sopa cheia;38;58;7
1106;Salada de frutas;1 copo pequeno cheio;150;81;22
1107;Salada de frutas;1 colher de sopa cheia;20;10;3
1108;"Salada de legumes com
maionese";1 colher de sopa cheia;35;34;5
1109;Salada de legumes simples;1 colher de sopa cheia;30;25;4
1110;Salada tropical (média);1 porção;180;75;15
1111;Salada verde;1 prato de sobremesa;125;65;2
1112;Salame;"1 fatia
média";20;50;0
1113;Salgadinho de soja Jasmine®;1 colher de sopa cheia;20;98;4
1114;"Salgadinhos sortidos Marilan®
(média)";13 unidades;20;136;19
1115;Salsa;1 colher de sopa cheia;15;5;1
1116;Salsão;1 colher de sopa cheia;15;3;0
1117;Sanduíche americano;1 unidade média;190;278;28
1118;Sanduíche de atum;1 unidade;120;372;33
1119;Sanduíche de calabresa;1 unidade;120;303;18
1120;Sanduíche de frango;1 unidade méda;120;299;33
1121;Sanduíche de mortadela;1 unidade;90;284;30
1122;Sanduíche de pernil;1 unidade;120;241;17
1123;Sanduíche de presunto;1 unidade;90;207;17
1124;Sanduíche de queijo minas;1 unidade;120;395;37
1125;"Sanduíche de queijo prato
com presunto";1 unidade;90;239;16
1126;Sanduíche natural;1 unidade média;120;265;29
1127;Sanduíche natural de atum;1 unidade média;120;296;20
1128;Sanduíche natural de frango;1 unidade média;120;288;21
1129;Sapoti;1 unidade pequena;60;53;16
1130;Saquê;1 dose;50;63;3
1131;Seleta de legumes (média);1 colher de sopa cheia;30;25;4
1132;Semente de chia;1 colher de sopa;15;80;7
1133;Semente de girassol Vida Boa®;1 colher de sopa;15;79;2
1134;Semolina cozida;1 pedaço médio;100;370;49
1135;Sequilhos Seven Boys®;1 unidade;3;14;3
1136;Smirnoff ice;1 garrafinha;275;190;47
1137;"Snack de soja ervas finas Good
Soy®";1 pacote comercial;25;95;15
1138;Snack Wrap Chicken Cheese®;1 unidade;128;328;31
1139;Snack Wrap Ranch®;1 unidade;117;280;32
1140;"Snacks integrais Vitao ervas
finas®";2 xícara de chá;25;104;14
1141;Snacks integrais Vitao queijo®;2 xícara de chá;25;103;14
1142;Snacks integral Vitao® (média);2 xícaras de chá;25;109;15
1143;Soja (hambúrguer);1 unidade;50;36;4
1144;Soja cozida (grão);1 colher de sopa;18;22;2
1145;Soja em pasta (missô);1 colher sopa rasa;20;30;3
1146;Soja torrada (grão);1 colher sopa cheia;16;68;5
1147;Sorvete (média);1 bola média;60;161;19
1148;Sorvete diet (média);1 bola média;60;62;10
1149;Sorvete light (média);1 bola média;60;62;10
1150;"Sorvete Molico napolitano diet
Nestlé®";1 bola média;60;60;10
1151;"Sorvete Molico Yogo Natural
diet Nestlé®";1 bola média;60;36;8
1152;Stacker Triplo (Burguer King®);1 unidade;486;1529;35
1153;Strudel de banana;1 fatia média;100;309;56
1154;Strudel de maçã;1 pedaço médio;30;131;19
1155;"Submway Frango Defumado
com Cream Cheese® (sem
queijo/sem molho)";1 unidade (15 cm);232;362;45
1156;"Subway Atum® (sem queijo/
sem molho)";1 unidade (15 cm);232;327;45
1157;"Subway B.M.T. Italiano® (sem
queijo/sem molho)";1 unidade (15 cm);230;415;43
1158;"Subway Beef Bacon Chipotle®
(sem queijo/sem molho)";1 unidade (15 cm);252;423;44
1159;"Subway Beef Barbecue Bacon®
(sem queijo/sem molho)";1 unidade (15 cm);272;417;53
1160;"Subway Carne Supreme® (sem
queijo/sem molho)";1 unidade (15 cm);272;460;50
1161;"Subway Frango com Molho
Barbecue® (sem queijo/sem
molho)";1 unidade (15 cm);237;332;39
1162;"Subway Frango com Molho
Parmesão® (sem queijo/sem
molho)";1 unidade (15 cm);237;301;43
1163;"Subway Frango Desfiado com
Maionese Temperada® (sem
queijo/sem molho)";1 unidade (15 cm);222;632;40
1164;"Subway Frango Empanado com
Cream Cheese® (sem queijo/
sem molho)";1 unidade (15 cm);267;484;51
1165;"Subway Frango Empanado com
Maionese Temperada® (sem
queijo/sem molho)";1 unidade (15 cm);247;572;51
1166;Suco Ades® (média);1 copo;200;88;20
1167;Suco artificial diet;1 copo;200;3;0
1168;Suco comum;1 copo;200;56;14
1169;Suco concentrado da fruta;1 copo;200;14;3
1170;Suco de abacaxi com açúcar;1 copo;200;108;26
1171;Suco de abacaxi sem açúcar;1 copo;200;86;20
1172;Suco de açaí com xarope;1 copo;200;365;60
1173;Suco de açaí sem xarope;1 copo;200;250;46
1174;Suco de acerola com açúcar;1 copo;200;52;12
1175;"Suco de acerola e laranja sem
açúcar";1 copo;200;113;25
1176;Suco de acerola sem açúcar;1 copo;200;25;5
1177;Suco de cajá (polpa congelada);1 copo;200;26;6
1178;Suco de caju (polpa congelada);1 copo;200;37;9
1179;"Suco de caju concentrado
(diluído em água)";1 copo;200;30;7
1180;Suco de graviola sem açúcar;1 copo;200;35;7
1181;"Suco de graviola
(polpa congelada)";1 copo;200;38;10
1182;Suco de groselia;1 copo;200;83;20
1183;"Suco de laranja e cenoura
sem açúcar";1 copo;200;114;26
1184;"Suco de laranja orgânico
(média)";1 copo;200;72;18
1185;Suco de laranja sem açucar;1 copo;200;74;17
1186;Suco de maçã com açúcar;1 copo;200;100;22
1187;Suco de maçã sem açúcar;1 copo;200;42;7
1188;Suco de mamão com açúcar;1 copo;200;76;18
1189;"Suco de mamão com laranja
sem açúcar";1 copo;200;110;26
1190;Suco de manga com açúcar;1 copo;200;80;19
1191;Suco de manga sem açúcar;1 copo;200;48;13
1192;Suco de maracujá com açúcar;1 copo;200;58;14
1193;Suco de maracujá sem açúcar;1 copo;200;45;9
1194;"Suco de maracujá
(polpa congelada)";1 copo;100;39;10
1195;Suco de melancia sem açúcar;1 copo;200;88;19
1196;Suco de melão com açúcar;1 copo;200;68;16
1197;Suco de melão sem açúcar;1 copo;200;33;6
1198;Suco de morango com açúcar;1 copo;200;80;18
1199;Suco de morango sem açúcar;1 copo;200;43;9
1200;Suco de pêssego sem açúcar;1 copo;200;32;7
1201;Suco de tangerina sem açúcar;1 copo;200;86;18
1202;Suco de tomate com açúcar;1 copo;200;121;26
1203;Suco de tomate enlatado;1 copo;200;41;8
1204;Suco de tomate sem açúcar;1 copo;200;48;9
1205;Suco de umbu (polpa congelada);1 copo;200;34;9
1206;"Suco de uva concentrado
(diluído em água)";1 copo;200;116;29
1207;Suco de uva engarrafado;1 copo;200;126;30
1208;Suco de uva integral (média);1 copo;200;140;33
1209;Suco de uva Kapo®;1 unidade;200;106;23
1210;Suco de uva light Tial® (média);1 copo;200;58;15
1211;Suco Del Valle® (média);1 copo;200;112;28
1212;Suco light Ades®;1 copo;200;32;7
1213;Suco light Del Valle® (média);1 copo;200;24;6
1214;Suco light Disfrut® (média);1 copo;200;32;8
1215;Suco light Mais® (média);1 copo;200;32;8
1216;"Suco Maguary® concentrado
(sem açúcar)";1 copo;200;14;3
1217;Suco Mais® (média);1 copo;200;105;26
1218;Suco Mc Laranja®;1 copo pequeno;300;160;34
1219;Suco Tang® (média);1 copo;200;84;21
1220;Sucrilhos®;1 colher de sopa cheia;5;19;5
1221;Sucrilhos®;1 copo pequeno cheio;38;139;35
1222;Sundae Kibon®;1 unidade;145;266;41
1223;Suspiro;1 unidade média;10;38;9
1224;Suspiro diet (Merenguinho®);1 unidade;2;2;1
1225;Taioba (folha);1 colher de sopa;20;7;1
1226;Tâmara seca;1 unidade média;10;28;7
1227;Tamarindo;1 colher de sopa cheia;12;33;9
1228;Tangerina;1 unidade média;135;67;15
1229;Tapioca com coco;1 unidade média;100;298;49
1230;"Tapioca com queijo e coco
ralado";1 unidade média;100;430;62
1231;Tapioca pronta na manteiga;1 unidade;100;174;43
1232;Tempeh;1 fatia;20;40;2
1233;Tequila;1 copo;40;136;19
1234;Toddynho® chocolate;1 unidade;200;185;32
1235;Toddynho® chocolate levinho;1 unidade;200;105;17
1236;Toddynho® chocolate light;1 unidade;200;122;20
1237;Tofu;1 pedaço;30;20;1
1238;Tomate;1 unidade média;70;12;3
1239;Tomate (fatiado);1 fatia média;15;2;0
1240;Tomate cereja;4 unidades pequenas;24;4;1
1241;Tomate extrato (industrializado);1 colher de sopa rasa;15;9;2
1242;Tomate purê (industrializado);1 colher de sopa cheia;20;8;1
1243;Tomate seco (no azeite);1 colher de sopa cheia;25;94;5
1244;"Top Snacks tomate e orégano
Fhom®";1 pacote comercial;25;106;19
1245;"Torrada alho, água e sal Casa
Victoriana®";1 unidade;8;25;5
1246;Torrada de pão de sal (média);1 unidade pequena;10;29;5
1247;Torrada industrializada (média);1 unidade;8;28;6
1248;Torradas (média);1 unidade;8;25;5
1249;"Torradas 100% integral Slim
Toast Fhom®";10 unidades;30;108;20
1250;Torradas aperitivo;1 unidade;2;7;1
1251;"Torradas Slim Toast Fhom®
(média)";21 unidades;30;112;22
1252;"Torta cheesecake
com calda de frutas";1 fatia média;60;148;19
1253;Torta de limão;1 fatia pequena;90;237;34
1254;Torta de maçã;1 fatia média;125;332;46
1255;Torta holandesa;1 fatia pequena;60;181;22
1256;Tortilha de trigo integral;1 unidade;35;92;20
1257;Tremoço (conserva);1 colher de sopa;20;24;3
1258;Trigo (grão);1 colher de sopa cheia;25;70;19
1259;Trigo para kibe;1 colher de sopa cheia;25;83;19
1260;Trufa de chocolate;1 unidade grande;30;140;15
1261;Uísque;1 dose;50;120;0
1262;Umbu;1 unidade média;22;10;2
1263;Umbu (polpa) congelada;1 saquinho;100;34;9
1264;Uva comum (média);10 gomos médios;80;60;10
1265;Uva roxa;1 cacho pequeno;100;79;18
1266;Uva verde ou italiana;1 unidade;8;6;1
1267;Uva-passa;1 colher de sopa cheia;18;55;14
1268;Vagem (conserva);1 colher de sopa cheia;20;5;1
1269;Vagem cozida;1 colher de sopa cheia;20;8;2
1270;Vagem crua;1 colher de sopa cheia;20;4;1
1271;Veggie Chips de grão de bico;1 ½ xícara de chá;25;95;16
1272;Vinho branco seco;1 taça;80;53;0
1273;Vinho branco suave;1 taça;80;70;10
1274;Vinho rosé;1 taça;80;57;1
1275;Vinho tinto seco;1 taça;80;58;1
1276;Vitalin®;;;;
1277;"Vitamina de leite/fruta
(com açúcar)";1 copo;200;133;22
1278;"Vitamina de leite/fruta
(sem açúcar)";1 copo;200;105;15
1279;Vodka;1 dose;40;93;0
1280;Wrap 100% integral Wickbold®;1 unidade;30;75;13
1281;Wrap tradicional Wickbold®;1 unidade;30;80;15
1282;Xylitol;1 colher de chá;3;8;3
1283;Yogoberry comum;"1 porção
(1 bola grande)";100;88;17
1284;Yogoberry diet;"1 porção
(1 bola grande)";100;60;7
